# sf,power,energy,firstSentPacket,packetColid,packetTotalLost
12,20,45.8858,2950,0,0
11,20,45.9316,2951,0,0
9,20,45.9545,2952,0,0
11,20,45.9609,2953,0,0
7,20,45.9838,2954,0,0
12,20,45.9858,2955,0,0
9,20,46.0315,2956,0,0
9,20,46.0380,2957,0,0
8,20,46.0444,2958,0,0
11,20,46.0480,2959,0,0
10,20,46.0709,2960,0,0
8,20,46.0838,2961,0,0
10,20,46.0873,2962,0,0
8,20,46.1002,2963,0,0
8,20,46.1038,2964,0,0
8,20,46.1074,2965,0,0
11,20,46.1109,2966,0,0
8,20,46.1338,2967,0,0
7,20,46.1374,2968,0,0
11,20,46.1394,2969,0,0
11,20,46.1623,2970,0,0
11,20,46.1852,2971,0,0
7,20,46.2081,2972,0,0
10,20,46.2100,2973,0,0
11,20,46.2229,2974,0,0
11,20,46.2458,2975,0,0
12,20,46.2687,2976,0,0
11,20,46.3145,2977,0,0
10,20,46.3374,2978,0,0
7,20,46.3502,2979,0,0
8,20,46.3522,2980,0,0
11,20,46.3558,2981,0,0
8,20,46.3787,2982,0,0
9,20,46.3823,2983,0,0
9,20,46.3887,2984,0,0
9,20,46.3951,2985,0,0
11,20,46.4016,2986,0,0
7,20,46.4245,2987,0,0
8,20,46.4264,2988,0,0
11,20,46.4300,2989,0,0
11,20,46.4529,2990,0,0
7,20,46.4758,2991,0,0
11,20,46.4778,2992,0,0
10,20,46.5007,2993,0,0
12,20,46.5135,2994,0,0
11,20,46.5593,2995,0,0
11,20,46.5822,2996,0,0
8,20,46.6051,2997,0,0
9,20,46.6087,2998,0,0
9,20,46.6151,2999,0,0
12,20,46.6216,3000,0,0
8,20,46.6674,3001,0,0
8,20,46.6709,3002,0,0
11,20,46.6745,3003,0,0
10,20,46.6974,3004,0,0
11,20,46.7103,3005,0,0
11,20,46.7332,3006,0,0
7,20,46.7561,3007,0,0
11,20,46.7580,3008,0,0
7,20,46.7809,3009,0,0
10,20,46.7829,3010,0,0
12,20,46.7958,3011,0,0
7,20,46.8416,3012,0,0
12,20,46.8435,3013,0,0
11,20,46.8893,3014,0,0
11,20,46.9122,3015,0,0
12,20,46.9351,3016,0,0
9,20,46.9809,3017,0,0
11,20,46.9874,3018,0,0
11,20,47.0102,3019,0,0
10,20,47.0331,3020,0,0
10,20,47.0460,3021,0,0
9,20,47.0589,3022,0,0
10,20,47.0653,3023,0,0
12,20,47.0782,3024,0,0
7,20,47.1240,3025,0,0
11,20,47.1260,3026,0,0
11,20,47.1489,3027,0,0
11,20,47.1718,3028,0,0
10,20,47.1946,3029,0,0
8,20,47.2075,3030,0,0
10,20,47.2111,3031,0,0
10,20,47.2240,3032,0,0
11,20,47.2368,3033,0,0
11,20,47.2597,3034,0,0
9,20,47.2826,3035,0,0
10,20,47.2891,3036,0,0
8,20,47.3019,3037,0,0
9,20,47.3055,3038,0,0
8,20,47.3119,3039,0,0
11,20,47.3155,3040,0,0
11,20,47.3384,3041,0,0
7,20,47.3613,3042,0,0
10,20,47.3633,3043,0,0
10,20,47.3762,3044,0,0
10,20,47.3890,3045,0,0
